Sitio,Grupo,Tipo,Fecha,Transecto,Bloque,Numero,SHJ ID,FVE ID,DFM ID,species,Codigo,Largo,Swab,Dedo,Recap,Foto,Muerto,Notas,...20
JZ-C,Estacion,C,02/09/22,2,B,21,priach,priach,priach,priach,0005,3.9,Y,Y,N,21,NA,NA,NA
JZ-C,Estacion,C,02/09/22,1,D,19,priach,priach,priach,priach,0005,3,Y,Y,N,19,NA,NA,NA
JZ-C,Estacion,C,05/09/22,2,C,51,priach,priach,priach,priach,0005,2.8,Y,Y,N,51,NA,NA,NA
JZ-C,Estacion,C,05/09/22,1,A,48,priach,priach,priach,priach,0005,2.1,Y,Y,N,48,NA,uno escapo del 1B,NA
JZ-C,Estacion,C,07/09/22,1,A,78,priach,priach,priach,priach,0005,2.9,Y,Y,N,77,NA,NA,NA
JZ-C,Estacion,C,07/09/22,1,D,80,priach,priach,priach,priach,0005,3.6,Y,Y,N,80,NA,NA,NA
JZJ-C,Estacion,C,14/09/22,4,C,222,priach,priach,priach,priach,0300,1.6,Y,Y,N,222,NA,NA,NA
JZJ-C,Estacion,C,09/09/22,1,D,119,priach,priach,priach,priach,0300,1.6,Y,Y,N,114,NA,NA,NA
JZJ-C,Estacion,C,12/09/22,3,D,172,priach,priach,priach,priach,0300,2.3,Y,Y,N,169,NA,NA,NA
JZJ-C,Estacion,C,09/09/22,1,C,118,priach,priach,priach,priach,0300,2.3,Y,Y,N,114,NA,NA,NA
JZJ-C,Estacion,C,12/09/22,1,B,159,priach,priach,priach,priach,0300,2.5,Y,Y,N,156,NA,NA,NA
JZJ-C,Estacion,C,09/09/22,2,C,123,priach,priach,priach,priach,0300,2.2,Y,Y,N,123,NA,NA,NA
JZJ-C,Estacion,C,12/09/22,3,B,169,priach,priach,priach,priach,0300,1.9,Y,Y,N,169,NA,NA,NA
JZJ-C,Estacion,C,14/09/22,4,C,223,priach,priach,priach,priach,0300,3.6,Y,Y,N,212,NA,NA,NA
